Year,Revenue Totals,COGS Totals,Gross Profit Totals,Operating Expense Totals,Operating Income Totals,Net Income Totals
2015," $56,935 "," $24,034 "," $27,765 "," $22,483 "," $5,273 "," $7,002 "
Fall,,,,,,
Spring," $16,625 "," $8,353 "," $8,272 "," $1,809 "," $6,462 "," $6,462 "
Winter," $40,310 "," $15,681 "," $19,493 "," $20,674 "," $(1,189)", $540 
2016," $268,276 "," $109,521 "," $157,984 "," $140,445 "," $23,108 "," $9,297 "
Fall," $83,835 "," $35,252 "," $48,582 "," $48,330 ", $432 , $159 
Spring," $84,248 "," $28,207 "," $55,271 "," $47,127 "," $8,146 "," $3,722 "
Winter," $100,193 "," $46,062 "," $54,131 "," $44,988 "," $14,530 "," $5,416 "
2017," $250,795 "," $103,616 "," $147,258 "," $114,518 "," $32,738 "," $21,766 "
Fall," $77,400 "," $35,977 "," $41,423 "," $34,552 "," $6,871 "," $4,307 "
Spring," $65,240 "," $25,639 "," $39,604 "," $36,044 "," $3,560 "," $2,028 "
Winter," $108,155 "," $42,000 "," $66,231 "," $43,922 "," $22,307 "," $15,431 "
2018," $202,665 "," $86,108 "," $113,413 "," $99,212 "," $13,894 "," $7,667 "
Fall," $82,972 "," $31,786 "," $51,811 "," $31,793 "," $17,795 "," $12,293 "
Spring," $39,237 "," $19,955 "," $19,280 "," $30,594 "," $(9,399)"," $(8,353)"
Winter," $80,456 "," $34,367 "," $42,322 "," $36,825 "," $5,498 "," $3,727 "
2019," $202,854 "," $100,360 "," $102,406 "," $124,304 "," $(21,899)"," $(12,991)"
Fall," $50,105 "," $20,257 "," $29,759 "," $31,577 "," $(1,818)"," $(1,619)"
Spring," $64,893 "," $34,660 "," $30,233 "," $44,703 "," $(14,470)"," $(7,047)"
Winter," $87,856 "," $45,443 "," $42,414 "," $48,024 "," $(5,611)"," $(4,325)"
2020," $65,498 "," $28,265 "," $36,917 "," $46,176 "," $(9,259)"," $(7,561)"
Fall," $33,345 "," $12,367 "," $20,310 "," $20,478 ", $(167), $(651)
Spring," $3,436 "," $2,533 ", $904 ," $2,740 "," $(1,836)"," $(1,430)"
Winter," $28,717 "," $13,365 "," $15,703 "," $22,958 "," $(7,256)"," $(5,480)"
2021," $105,961 "," $42,838 "," $74,601 "," $64,075 "," $10,523 "," $7,336 "
Fall," $49,325 "," $23,599 "," $37,229 "," $29,719 "," $7,509 "," $4,119 "
Spring," $26,881 "," $8,584 "," $18,272 "," $19,451 "," $(1,180)"," $(1,509)"
Winter," $29,755 "," $10,655 "," $19,100 "," $14,905 "," $4,194 "," $4,726 "
2022," $169,224 "," $52,443 "," $116,590 "," $91,831 "," $24,837 "," $16,260 "
Fall," $56,617 "," $15,671 "," $40,945 "," $30,225 "," $10,680 "," $6,807 "
Spring," $46,818 "," $17,300 "," $29,518 "," $24,770 "," $4,865 "," $3,037 "
Winter," $65,789 "," $19,472 "," $46,127 "," $36,836 "," $9,292 "," $6,416 "
Grand Total," $1,322,208 "," $547,185 "," $776,934 "," $703,044 "," $79,215 "," $48,776 "
