Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin
2015,Winter,A,Teton Tacos,Smith,,Tacos,,,,,,,,,0%
2015,Winter,B,43 North,Library Ampitheatre,,Hot Chocolate,"$9,718 ","$3,778 ","$5,940 ",61%,"$13,443 ","($7,502)","($7,502)","$2,363 ",-77%
2015,Winter,C,Royal,MC,,Apparel,"$11,868 ","$5,993 ","$5,874 ",49%,"$1,322 ","$4,543 ","$3,861 ","$1,459 ",33%
2015,Winter,D,Shave and Shine,MC,,Apparel,"$13,589 ","$5,910 ","$7,679 ",57%,"$5,909 ","$1,770 ","$1,770 ",,13%
2015,Winter,E,,,,,,,,,,,,,0%
2015,Winter,F,Johnny's Diner,Clark,,Burgers,"$5,135 ",,,,,,"$2,411 ",,47%
2015,Spring,A,,,,,,,,,,,,,0%
2015,Spring,B,,,,,,,,,,,,,0%
2015,Spring,C,,,,,,,,,,,,,0%
2015,Spring,D,,,,,,,,,,,,,0%
2015,Spring,E,Toasties,,,Food,"$16,625 ","$8,353 ","$8,272 ",50%,"$1,809 ","$6,462 ","$6,462 ",,39%
2015,Spring,F,,,,,,,,,,,,,0%
2015,Spring,G,,,,,,,,,,,,,0%
2015,Fall,A,Athens Grill,Kimball,,?,,,,,,,,,0%
2015,Fall,B,Sips,Library Ampitheatre,,?,,,,,,,,,0%
2015,Fall,C,Impressions,MC,,Branded Apparel,,,,,,,,,0%
2015,Fall,D,Rep T,MC,,Branded Apparel,,,,,,,,,0%
2015,Fall,E,Date Box,Online,,?,,,,,,,,,0%
2015,Fall,F,Spud Nation,Smith,,Stuffed Fries,,,,,,,,,0%
2015,Fall,G,Chamaco,Ricks,,Tamales,,,,,,,,,0%
2015,Fall,H,Look Good Feel Good,MC,,Ties,,,,,,,,,0%
2016,Winter,A,,Kimball,,BBQ,"$20,480 ","$10,072 ","$10,408 ",51%,"$8,000 ","$7,795 ","$1,629 ",,8%
2016,Winter,B,,MC,,Photo Booth,"$11,552 ","$5,400 ","$6,152 ",53%,"$5,099 ","$1,053 ",$677 ,,6%
2016,Winter,C,,Library Ampitheatre,,Burritos,"$18,509 ","$9,200 ","$9,309 ",50%,"$11,348 ","($2,039)","($1,474)",,-8%
2016,Winter,D,,MC,,Branded Apparel,"$8,464 ","$5,435 ","$3,029 ",36%,"$2,702 ",$327 ,$151 ,,2%
2016,Winter,E,Roam,MC,,Branded Apparel,"$14,021 ","$6,392 ","$7,629 ",54%,"$4,217 ","$3,412 ","$2,282 ",,16%
2016,Winter,F,,Ricks,,Prepackaged food,"$8,151 ","$3,388 ","$4,763 ",58%,"$5,642 ",($879),($785),,-10%
2016,Winter,G,Viking Rolls,Smith,,Sandwiches,"$16,195 ","$4,536 ","$11,659 ",72%,"$7,312 ","$4,347 ","$2,917 ",,18%
2016,Winter,H,,Library Ampitheatre,,Boucy balls,$808 ,$0 ,$808 ,100%,$458 ,$350 ,($17),,-2%
2016,Winter,I,,Online,,Candy,"$2,013 ","$1,639 ",$374 ,19%,$210 ,$164 ,$36 ,,2%
2016,Spring,A,Tacontento,Kimball,,Tacos,"$16,171 ","$6,340 ","$9,340 ",58%,"$6,704 ","$2,636 ","$1,779 ",,11%
2016,Spring,B,Splash n'Dash,By the Stadium,,Car Wash,"$13,360 ","$2,326 ","$11,033 ",83%,"$4,853 ","$6,181 ","$4,285 ",,32%
2016,Spring,C,Shortstop,Library Ampitheatre,,Homemade Pretzels,"$10,192 ","$2,708 ","$7,484 ",73%,"$9,802 ","($2,317)","($3,159)",,-31%
2016,Spring,D,Le Belle,MC,,Branded Apparel,"$17,489 ","$5,864 ","$11,348 ",65%,"$6,462 ","$4,886 ","$3,310 ",,19%
2016,Spring,E,Hot Diggity,Smith,,Hot Dogs,"$20,288 ","$8,197 ","$12,091 ",60%,"$11,657 ",$434 ,$239 ,,1%
2016,Spring,F,Fro Zone,Library Ampitheatre,,Cold Treats,"$6,748 ","$2,772 ","$3,975 ",59%,"$7,649 ","($3,674)","($2,732)",,-40%
2016,Fall,A,The Lodge,MC,,Hand Warmers,"$12,696 ","$3,408 ","$9,288 ",73%,"$5,240 ","$4,048 ","$2,789 ","$7,501 ",22%
2016,Fall,B,Bitez,Library Ampitheatre,,Muffins,"$6,779 ","$3,751 ","$3,028 ",45%,"$4,163 ","($1,135)",($929),"$1,088 ",-14%
2016,Fall,C,Mexi Rexi,STC,,Mexican Tortas,"$16,508 ","$7,689 ","$8,819 ",53%,"$10,684 ","($1,685)","($1,366)","$5,842 ",-8%
2016,Fall,D,Heaven Scent,MC,,Scented Items,"$10,610 ","$3,868 ","$6,742 ",64%,"$5,411 ","$1,331 ",$890 ,"$3,580 ",8%
2016,Fall,E,Grizzly Wear,MC,,Branded Apparel,"$13,990 ","$8,377 ","$5,613 ",40%,"$6,642 ","($1,030)",($816),"$2,759 ",-6%
2016,Fall,F,Jewelry by Anson,MC,,Jewelry,"$5,467 ",$508 ,"$4,959 ",91%,"$5,090 ",($131),$817 ,"$3,319 ",15%
2016,Fall,G,Panini Plus,Kimball,,Paninins,"$11,539 ","$5,324 ","$6,214 ",54%,"$6,971 ",($756),($530),"$3,810 ",-5%
2016,Fall,H,Rexburg Co.,MC,,Branded Apparel,"$6,246 ","$2,327 ","$3,919 ",63%,"$4,129 ",($210),($696),"$1,888 ",-11%
2017,Winter,A,The Meltdown,Smith,,Grilled Cheese,"$15,117 ","$4,672 ","$10,446 ",69%,"$7,254 ","$3,191 ","$2,187 ",,14%
2017,Winter,B,The Sock Shop,MC,,Socks,"$9,534 ","$4,687 ","$4,847 ",51%,"$3,873 ",$974 ,$632 ,,7%
2017,Winter,C,Nature,MC,,Lotions,"$7,404 ","$3,622 ","$3,783 ",51%,"$3,283 ",$500 ,$511 ,,7%
2017,Winter,D,Wing Shack,Crossroads,,Chicken Wings,"$38,186 ","$15,711 ","$22,474 ",59%,"$9,288 ","$13,186 ","$9,213 ",,24%
2017,Winter,E,Acai Bowl,Benson,,Acai Bowls (blended fruit bowls),"$11,753 ","$2,956 ","$8,797 ",75%,"$5,468 ","$3,328 ","$2,301 ",,20%
2017,Winter,F,Backyard BBQ,STC,,BBQ pulled pork,"$15,613 ","$5,088 ","$10,526 ",67%,"$6,784 ","$3,742 ","$2,531 ",,16%
2017,Winter,G,Simply Soft,MC,,Lotions,"$4,762 ","$2,334 ","$2,428 ",51%,"$3,559 ","($1,131)",($875),,-18%
2017,Winter,H,Impress,MC,,Etched Wood products,"$5,786 ","$2,930 ","$2,930 ",51%,"$4,413 ","($1,483)","($1,069)",,-18%
2017,Spring,A,Treeline,MC,,Hammock,"$20,078 ","$11,478 ","$8,600 ",43%,"$4,076 ","$4,524 ","$3,091 ",,15%
2017,Spring,B,Ohana Hut,STC,,Rice Bowl,"$11,432 ","$5,567 ","$5,866 ",51%,"$7,016 ","($1,150)",($875),,-8%
2017,Spring,C,Doughlicious,Library Ampitheatre,,Cookie Dough,"$8,539 ","$2,314 ","$6,225 ",73%,"$7,310 ","($1,085)",($811),,-9%
2017,Spring,D,Chanchos,Crossroads,,Tacos,"$15,592 ","$4,456 ","$11,137 ",71%,"$8,743 ","$2,394 ","$1,531 ",,10%
2017,Spring,E,ParadICE,Library Ampitheatre,,Shaved Ice,"$4,507 ","$1,036 ","$3,471 ",77%,"$4,595 ","($1,124)",($846),,-19%
2017,Spring,F,StickOut,MC,,Vinyl Stickers,"$5,092 ",$788 ,"$4,305 ",85%,"$4,304 ",$1 ,($62),,-1%
2017,Fall,A,Open Box Games,MC,$35 ,Mormon card games,"$20,321 ","$8,544 ","$11,777 ",58%,"$3,993 ","$7,784 ","$5,446 ",,27%
2017,Fall,B,Cozy Comforts,MC,$35 ,Blankets,"$10,660 ","$5,884 ","$4,776 ",45%,"$3,648 ","$1,128 ",$670 ,,6%
2017,Fall,C,Visual Records,MC,$35 ,Home Decor (w/sound wave art),"$7,421 ","$3,322 ","$4,099 ",55%,"$3,686 ",$413 ,$241 ,,3%
2017,Fall,D,Dough Mama's Kitchen,Smith,$150 ,Kolaches,"$7,680 ","$3,705 ","$3,975 ",52%,"$5,746 ","($1,771)","($1,323)",,-17%
2017,Fall,E,Mama's Bistro,STC,$150 ,Panini sandwiches and soup,"$15,648 ","$6,388 ","$9,260 ",59%,"$8,640 ",$620 ,$378 ,,2%
2017,Fall,F,Wafel Co.,Library Ampitheatre,$35 ,Waffels,"$12,637 ","$5,738 ","$6,899 ",55%,"$6,168 ",$731 ,$438 ,,3%
2017,Fall,G,Hot Spot,MC,$35 ,Winter Clothes&accessories,"$3,033 ","$2,396 ",$637 ,21%,"$2,671 ","($2,034)","($1,543)",,-51%
2018,Winter,A,Shredded Chicken,Smith,$150 ,Chicken Sandwiches,"$16,323 ","$6,720 ","$9,604 ",59%,"$7,332 ","$2,272 ","$1,783 ","$7,461 ",11%
2018,Winter,B,The Coop,STC,$150 ,Fried Chicken,"$18,262 ","$9,266 ","$8,995 ",49%,"$7,186 ","$1,809 ","$1,222 ","$6,252 ",7%
2018,Winter,C,Soup City,Kimball,$75 ,Soups,"$11,128 ","$4,622 ","$6,506 ",58%,"$6,493 ",$13 ,($70),"$3,535 ",-1%
2018,Winter,D,Patch Co.,MC,$35 ,Customized Hats,"$9,093 ","$3,902 ","$5,190 ",57%,"$3,741 ","$1,449 ",$937 ,"$3,574 ",10%
