,Semester,Year,Status,Major...7,Class,Gender...9,Finance?,Non-Business,Section,Survey Y/N,Day/Evening,Food Service,Apparel/Sewing,Other Consumer,Cottage Food,random_id,CompanyLetter,Learning Team,Faculty,Business Name
1,Spring,2022,Registered(03/04/2022),Business Management,JR,Male,No,No,7,Y,NA,Not Interested,Very Interested,Very Interested,Very Interested,384ZNZH4269EC397,NA,NA,NA,#N/A
2,Fall,2023,Registered(06/02/2023),Bus Mgmt Marketing,SR,Female,No,No,5,N,N/A,N/A,N/A,N/A,N/A,823TQFL7313ZN848,E,2,Jared Peterson,Off-Shore
3,Spring,2023,Registered(03/07/2023),Bus Mgmt Marketing,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,596LELJ5549IO221,H,2,Charlie Crump,Dippers
4,Fall,2023,Registered(06/08/2023),Bus Mgmt Marketing,JR,Male,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Very Interested,Very Interested,Not Interested,364EVMF8527FO825,F,3,Kent Lundin,On-A-Stick
5,Spring,2023,Registered(03/08/2023),Business Management,JR,Female,No,No,6,N,NA,N/A,N/A,N/A,N/A,699YLRS6885VY984,F,1,Kent Lundin,New Life
6,Fall,2023,Registered(06/09/2023),Business Management,JR,Male,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Not Interested,458JLVW4068TF121,F,1,Kent Lundin,On-A-Stick
7,Winter,2023,Registered(11/03/2022),Bus Mgmt Marketing,SR,Male,No,No,4,Y,I'm fine with either option,Very Interested,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,389SLFE8248XX556,D,1,Alan Thompson,Swift Blend
8,Fall,2023,Registered(06/02/2023),Humanities,SR,Female,No,Yes,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,155XNGP5230VK810,H,1,Brian Christensen,Frozone
9,Fall,2023,Registered(06/13/2023),Business Management,SO,Male,No,No,1,N,N/A,N/A,N/A,N/A,N/A,164WCXH4772WR426,A,2,Scott Pope,CheFigo
10,Spring,2022,Registered(03/14/2022),Business Management,SO,Female,No,No,8,Y,NA,Very Interested,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,607UYXR4140YP374,NA,NA,NA,#N/A
11,Fall,2022,Registered(06/13/2022),Bus Mgmt Marketing,SO,Female,No,No,3,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,579QATZ4871IL470,NA,NA,NA,#N/A
12,Fall,2023,Registered(06/02/2023),Bus Mgmt Marketing,SR,Female,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,289MPOP2985IY273,I,2,Dave Rowe,Sunday Blues
13,Fall,2023,Registered(06/06/2023),Business Management,SR,Male,No,No,5,N,N/A,N/A,N/A,N/A,N/A,110SUTI4562RX308,E,1,Jared Peterson,Off-Shore
14,Winter,2023,Registered(11/16/2022),Business Management,FR,Female,No,No,2,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,500CTSS2533BF763,B,1,Robert Wilson,Unboxed
15,Winter,2023,Registered(11/08/2022),Bus Mgmt Marketing,JR,Male,No,No,7,N,NA,N/A,N/A,N/A,N/A,184UZQH9799FB201,G,3,Jared Peterson,MemoRays
16,Fall,2022,Registered(06/06/2022),Business Management,SR,Male,No,No,6,N,Evening,No Opinion,No Opinion,No Opinion,No Opinion,837EOLY4182EP708,NA,NA,NA,#N/A
17,Winter,2023,Registered(11/09/2022),Business Finance,JR,Female,Yes,No,6,N,NA,N/A,N/A,N/A,N/A,750FHSB3487SC141,F,2,Chris Boyce,CereALLS
18,Spring,2022,Registered(04/04/2022),Business Management,SO,Male,No,No,3,N,Daytime Operations (8AM-2PM),N/A,N/A,N/A,N/A,235ERFP6696NM704,NA,NA,NA,#N/A
19,Spring,2022,Registered(03/08/2022),Bus Mgmt Marketing,JR,Male,No,No,2,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Not Interested,Not Interested,970CMDJ1670QP246,NA,NA,NA,#N/A
20,Fall,2023,tbd,Bus Mgmt Marketing,SR,Male,No,No,7,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,463AWMK9268JU211,G,1,Drew Eagar,Mac Dad
21,Spring,2022,Registered(03/05/2022),Bus Mgmt Marketing,SR,Male,No,No,6,N,Daytime Operations (8AM-2PM),N/A,N/A,N/A,N/A,171ZWLU4390WX508,NA,NA,NA,#N/A
22,Fall,2023,Registered(06/12/2023),Business Management,SR,Male,No,No,5,N,N/A,N/A,N/A,N/A,N/A,462NXCK9006QP758,E,2,Jared Peterson,Off-Shore
23,Fall,2022,Registered(06/09/2022),Business Management,JR,Male,No,No,3,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,431VYOU2964HI435,NA,NA,NA,#N/A
24,Fall,2023,Registered(06/07/2023),Bus Mgmt Marketing,JR,Male,No,No,2,N,N/A,N/A,N/A,N/A,N/A,565KFTG8876TJ255,B,2,Mary Maroon,Homeslice
25,Winter,2023,Registered(11/07/2022),Business Management,SR,Male,No,No,1,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,Not Interested,925HSRB1621MM750,A,3,Charlie Crump,Golden Links
26,Fall,2023,Registered(06/08/2023),Graphic Design,JR,Male,No,Yes,4,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Indifferent or No Opinion,Not Interested,782ZPBK3600HZ902,D,1,Chris Boyce,Your Signature Jewlery
27,Spring,2023,Registered(03/08/2023),Business Management,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Very Interested,604HXTZ4594LU982,H,3,Charlie Crump,Dippers
28,Fall,2023,Registered(06/08/2023),Horticulture,JR,Female,No,Yes,3,Y,Evening Operations (8-11AM & 7-10PM roughly),Very Interested,Not Interested,Indifferent or No Opinion,Very Interested,777NQUC7616TJ222,C,2,Rob Tietjen,Tia Tortilla
29,Spring,2023,Registered(03/09/2023),Business Management Ops,JR,Female,No,No,9,N,NA,N/A,N/A,N/A,N/A,590KEOU3918KV382,I,1,Dave Rowe,Easy Peasy
30,Spring,2022,Registered(03/10/2022),Weld/Fabrication Tech,SO,Male,No,Yes,4,Y,NA,Not Interested,Very Interested,Very Interested,Not Interested,350WHSL7692QN849,NA,NA,NA,#N/A
31,Fall,2023,Registered(06/02/2023),Horticulture,SR,Female,No,Yes,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,148QMTT3101AG575,H,2,Brian Christensen,Frozone
32,Fall,2022,Registered(06/06/2022),Business Management,SR,Female,No,No,2,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,870GYFG6490MC377,NA,NA,NA,#N/A
33,Spring,2023,Registered(03/07/2023),Business Management,JR,Male,No,No,1,Y,I'm fine with either option,Indifferent or No Opinion,Indifferent or No Opinion,Not Interested,Indifferent or No Opinion,631GVHE5145IZ708,A,1,Scott Pope,1793 & Co
34,Spring,2023,Registered(03/10/2023),Business Management Ops,JR,Male,No,No,3,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Not Interested,988ESWW7457BN287,C,1,Chris Boyce,The Chap Shack
35,Spring,2023,Registered(03/07/2023),Automotive Tech Mgmt,JR,Male,No,Yes,7,N,NA,N/A,N/A,N/A,N/A,137XMHR8029TG165,G,3,Brian Christensen,Brims
36,Spring,2022,Registered(03/03/2022),Business Management,SR,Male,No,No,1,N,NA,N/A,N/A,N/A,N/A,424HRTV6747LW188,NA,NA,NA,#N/A
37,Winter,2023,Registered(01/04/2023),Bus Mgmt Marketing,JR,Female,No,No,5,N,NA,N/A,N/A,N/A,N/A,522LDTK7617WA132,E,3,Rob Tietjen,After Hours
38,Winter,2023,Registered(11/04/2022),Psychology,SR,Male,No,Yes,4,Y,Daytime Operations (8AM-2PM),Very Interested,Not Interested,Indifferent or No Opinion,Very Interested,497RMUK2812FY741,D,2,Alan Thompson,Swift Blend
39,Fall,2022,Registered(06/03/2022),Business Management,SR,Male,No,No,2,Y,Daytime,No Opinion,Very Interested,Very Interested,Very Interested,195YXXX6384GA702,NA,NA,NA,#N/A
