Name,Type,Time,Amount
Tacontento,Food(prepared),2016-05-16T19:01:00Z,3
Tacontento,Food(prepared),2016-05-16T19:01:00Z,1.5
Tacontento,Food(prepared),2016-05-16T19:04:00Z,3
Tacontento,Food(prepared),2016-05-16T19:04:00Z,3
Tacontento,Food(prepared),2016-05-16T19:04:00Z,1.5
Tacontento,Food(prepared),2016-05-16T19:04:00Z,1
Tacontento,Food(prepared),2016-05-16T19:07:00Z,3
Tacontento,Food(prepared),2016-05-16T19:07:00Z,3
Tacontento,Food(prepared),2016-05-16T19:07:00Z,1.5
Tacontento,Food(prepared),2016-05-16T19:07:00Z,3
Tacontento,Food(prepared),2016-05-16T19:09:00Z,1
Tacontento,Food(prepared),2016-05-16T19:09:00Z,3
Tacontento,Food(prepared),2016-05-16T19:09:00Z,2.5
Tacontento,Food(prepared),2016-05-16T19:09:00Z,1.5
Tacontento,Food(prepared),2016-05-16T19:17:00Z,1.5
Tacontento,Food(prepared),2016-05-16T19:23:00Z,2.5
Tacontento,Food(prepared),2016-05-16T17:31:00Z,3
Tacontento,Food(prepared),2016-05-16T17:32:00Z,3
Tacontento,Food(prepared),2016-05-16T17:34:00Z,4.5
Tacontento,Food(prepared),2016-05-16T17:36:00Z,6
Tacontento,Food(prepared),2016-05-16T17:38:00Z,4.5
Tacontento,Food(prepared),2016-05-16T17:41:00Z,3
Tacontento,Food(prepared),2016-05-16T17:41:00Z,1.5
Tacontento,Food(prepared),2016-05-16T17:42:00Z,3
Tacontento,Food(prepared),2016-05-16T17:47:00Z,3
Tacontento,Food(prepared),2016-05-16T17:47:00Z,1
Tacontento,Food(prepared),2016-05-16T17:48:00Z,3
Tacontento,Food(prepared),2016-05-16T17:48:00Z,1.5
Tacontento,Food(prepared),2016-05-16T17:50:00Z,3
Tacontento,Food(prepared),2016-05-16T17:51:00Z,3
Tacontento,Food(prepared),2016-05-16T17:53:00Z,3
Tacontento,Food(prepared),2016-05-16T17:53:00Z,3
Tacontento,Food(prepared),2016-05-16T17:53:00Z,2.5
Tacontento,Food(prepared),2016-05-16T17:53:00Z,2.5
Tacontento,Food(prepared),2016-05-16T17:53:00Z,2.5
Tacontento,Food(prepared),2016-05-16T17:56:00Z,3
Tacontento,Food(prepared),2016-05-16T17:56:00Z,3
Tacontento,Food(prepared),2016-05-16T17:58:00Z,3
Tacontento,Food(prepared),2016-05-16T17:58:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:01:00Z,3
Tacontento,Food(prepared),2016-05-16T18:01:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:06:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:08:00Z,3
Tacontento,Food(prepared),2016-05-16T18:08:00Z,2.5
Tacontento,Food(prepared),2016-05-16T18:11:00Z,2.5
Tacontento,Food(prepared),2016-05-16T18:12:00Z,3
Tacontento,Food(prepared),2016-05-16T18:12:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:18:00Z,3
Tacontento,Food(prepared),2016-05-16T18:18:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:19:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:21:00Z,3
Tacontento,Food(prepared),2016-05-16T18:28:00Z,3
Tacontento,Food(prepared),2016-05-16T18:28:00Z,3
Tacontento,Food(prepared),2016-05-16T18:28:00Z,2.5
Tacontento,Food(prepared),2016-05-16T18:28:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:30:00Z,3
Tacontento,Food(prepared),2016-05-16T18:31:00Z,1
Tacontento,Food(prepared),2016-05-16T18:31:00Z,3
Tacontento,Food(prepared),2016-05-16T18:33:00Z,3
Tacontento,Food(prepared),2016-05-16T18:35:00Z,3
Tacontento,Food(prepared),2016-05-16T18:35:00Z,2.5
Tacontento,Food(prepared),2016-05-16T18:36:00Z,3
Tacontento,Food(prepared),2016-05-16T18:36:00Z,2.5
Tacontento,Food(prepared),2016-05-16T18:46:00Z,3
Tacontento,Food(prepared),2016-05-16T18:47:00Z,3
Tacontento,Food(prepared),2016-05-16T18:49:00Z,1.5
Tacontento,Food(prepared),2016-05-16T18:49:00Z,3
Tacontento,Food(prepared),2016-05-16T18:49:00Z,3
Tacontento,Food(prepared),2016-05-16T18:49:00Z,3
Tacontento,Food(prepared),2016-05-16T18:51:00Z,3
Tacontento,Food(prepared),2016-05-16T18:52:00Z,3
Tacontento,Food(prepared),2016-05-16T18:53:00Z,3
Tacontento,Food(prepared),2016-05-16T18:54:00Z,3
Tacontento,Food(prepared),2016-05-16T18:57:00Z,3
Tacontento,Food(prepared),2016-05-16T18:57:00Z,1
Tacontento,Food(prepared),2016-05-16T18:59:00Z,3
Tacontento,Food(prepared),2016-05-16T20:41:00Z,7
Tacontento,Food(prepared),2016-05-17T19:06:00Z,3
Tacontento,Food(prepared),2016-05-17T19:06:00Z,3
Tacontento,Food(prepared),2016-05-17T19:07:00Z,2.5
Tacontento,Food(prepared),2016-05-17T19:09:00Z,4.5
Tacontento,Food(prepared),2016-05-17T19:12:00Z,3
Tacontento,Food(prepared),2016-05-17T19:16:00Z,3
Tacontento,Food(prepared),2016-05-17T19:18:00Z,3
Tacontento,Food(prepared),2016-05-17T19:18:00Z,3
Tacontento,Food(prepared),2016-05-17T19:27:00Z,4.5
Tacontento,Food(prepared),2016-05-17T19:27:00Z,4.5
Tacontento,Food(prepared),2016-05-17T19:27:00Z,3
Tacontento,Food(prepared),2016-05-17T19:28:00Z,2.5
Tacontento,Food(prepared),2016-05-17T19:30:00Z,4.5
Tacontento,Food(prepared),2016-05-17T19:30:00Z,4.5
Tacontento,Food(prepared),2016-05-17T19:32:00Z,3
Tacontento,Food(prepared),2016-05-17T19:32:00Z,3
Tacontento,Food(prepared),2016-05-17T19:33:00Z,3
Tacontento,Food(prepared),2016-05-17T19:34:00Z,3
Tacontento,Food(prepared),2016-05-17T19:35:00Z,3
Tacontento,Food(prepared),2016-05-17T19:38:00Z,3
Tacontento,Food(prepared),2016-05-17T17:00:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,3
Tacontento,Food(prepared),2016-05-17T17:05:00Z,2.5
Tacontento,Food(prepared),2016-05-17T17:05:00Z,2.5
Tacontento,Food(prepared),2016-05-17T17:05:00Z,2.5
Tacontento,Food(prepared),2016-05-17T17:09:00Z,3
Tacontento,Food(prepared),2016-05-17T17:11:00Z,3
Tacontento,Food(prepared),2016-05-17T17:11:00Z,3
Tacontento,Food(prepared),2016-05-17T17:13:00Z,3
Tacontento,Food(prepared),2016-05-17T17:20:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:23:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:23:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:31:00Z,2.5
Tacontento,Food(prepared),2016-05-17T17:32:00Z,1.5
Tacontento,Food(prepared),2016-05-17T17:34:00Z,1.5
Tacontento,Food(prepared),2016-05-17T17:35:00Z,3
Tacontento,Food(prepared),2016-05-17T17:35:00Z,3
Tacontento,Food(prepared),2016-05-17T17:36:00Z,3
Tacontento,Food(prepared),2016-05-17T17:37:00Z,1.5
Tacontento,Food(prepared),2016-05-17T17:37:00Z,1
Tacontento,Food(prepared),2016-05-17T17:40:00Z,2.5
Tacontento,Food(prepared),2016-05-17T17:45:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:49:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:51:00Z,3
Tacontento,Food(prepared),2016-05-17T17:54:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:54:00Z,4.5
Tacontento,Food(prepared),2016-05-17T17:56:00Z,3
Tacontento,Food(prepared),2016-05-17T17:58:00Z,4.5
