Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin,Category
2015,Winter,A,Teton Tacos,Smith,,Tacos,,,,,,,,,0%,Food/Drink
2015,Winter,B,43 North,Library Ampitheatre,,Hot Chocolate,"9,718.00","3,778.00","5,940.00",61%,"13,443.00","-7,502.00","-7,502.00","2,363.00",-77%,Food/Drink
2015,Winter,C,Royal,MC,,Apparel,"11,868.00","5,993.00","5,874.00",49%,"1,322.00","4,543.00","3,861.00","1,459.00",33%,Apparel
2015,Winter,D,Shave and Shine,MC,,Apparel,"13,589.00","5,910.00","7,679.00",57%,"5,909.00","1,770.00","1,770.00",,13%,Apparel
,,,,,,,,,,,,,,,,
2015,Winter,F,Johnny's Diner,Clark,,Burgers,"5,135.00",,,,,,"2,411.00",,47%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2015,Spring,E,Toasties,,,Food,"16,625.00","8,353.00","8,272.00",50%,"1,809.00","6,462.00","6,462.00",,39%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2016,Winter,A,,Kimball,,BBQ,"20,480.00","10,072.00","10,408.00",51%,"8,000.00","7,795.00","1,629.00",,8%,Food/Drink
2016,Winter,B,,MC,,Photo Booth,"11,552.00","5,400.00","6,152.00",53%,"5,099.00","1,053.00",677.00,,6%,Service
2016,Winter,C,,Library Ampitheatre,,Burritos,"18,509.00","9,200.00","9,309.00",50%,"11,348.00","-2,039.00","-1,474.00",,-8%,Food/Drink
2016,Winter,D,,MC,,Branded Apparel,"8,464.00","5,435.00","3,029.00",36%,"2,702.00",327.00,151.00,,2%,Apparel
2016,Winter,E,Roam,MC,,Branded Apparel,"14,021.00","6,392.00","7,629.00",54%,"4,217.00","3,412.00","2,282.00",,16%,Apparel
2016,Winter,F,,Ricks,,Prepackaged food,"8,151.00","3,388.00","4,763.00",58%,"5,642.00",-879.00,-785.00,,-10%,Food/Drink
2016,Winter,G,Viking Rolls,Smith,,Sandwiches,"16,195.00","4,536.00","11,659.00",72%,"7,312.00","4,347.00","2,917.00",,18%,Food/Drink
2016,Winter,H,,Library Ampitheatre,,Boucy balls,808.00,0.00,808.00,100%,458.00,350.00,-17.00,,-2%,Product
2016,Winter,I,,Online,,Candy,"2,013.00","1,639.00",374.00,19%,210.00,164.00,36.00,,2%,Food/Drink
2016,Spring,A,Tacontento,Kimball,,Tacos,"16,171.00","6,340.00","9,340.00",58%,"6,704.00","2,636.00","1,779.00",,11%,Food/Drink
2016,Spring,B,Splash n'Dash,By the Stadium,,Car Wash,"13,360.00","2,326.00","11,033.00",83%,"4,853.00","6,181.00","4,285.00",,32%,Service
2016,Spring,C,Shortstop,Library Ampitheatre,,Homemade Pretzels,"10,192.00","2,708.00","7,484.00",73%,"9,802.00","-2,317.00","-3,159.00",,-31%,Food/Drink
