"","Semester","Year","Status","Cross-listed Course","Major...7","Class","Gender...9","Female?","Finance?","Non-Business","Assigned Section","Survey Y/N","Day/Evening","Food Service","Apparel/Sewing","Other Consumer","Cottage Food","random_id","CompanyLetter","Learning Team","Faculty"
"1","Spring","2022","Registered(03/04/2022)",NA,"Business Management","JR","Male","No","No","No",7,"Y",NA,"Not Interested","Very Interested","Very Interested","Very Interested","384ZNZH4269EC397",NA,NA,NA
"2","Fall","2023","Registered(06/02/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","823TQFL7313ZN848","E",2,"Jared Peterson"
"3","Spring","2023","Registered(03/07/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","596LELJ5549IO221","H",2,"Charlie Crump"
"4","Fall","2023","Registered(06/08/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Very Interested","Not Interested","364EVMF8527FO825","F",3,"Kent Lundin"
"5","Spring","2023","Registered(03/08/2023)",NA,"Business Management","JR","Female","Yes","No","No",6,"N",NA,"N/A","N/A","N/A","N/A","699YLRS6885VY984","F",1,"Kent Lundin"
"6","Fall","2023","Registered(06/09/2023)",NA,"Business Management","JR","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Not Interested","458JLVW4068TF121","F",1,"Kent Lundin"
"7","Winter","2023","Registered(11/03/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",4,"Y","I'm fine with either option","Very Interested","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","389SLFE8248XX556","D",1,"Alan Thompson"
"8","Fall","2023","Registered(06/02/2023)",NA,"Humanities","SR","Female","Yes","No","Yes",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","155XNGP5230VK810","H",1,"Brian Christensen"
"9","Fall","2023","Registered(06/13/2023)",NA,"Business Management","SO","Male","No","No","No",1,"N","N/A","N/A","N/A","N/A","N/A","164WCXH4772WR426","A",2,"Scott Pope"
"10","Spring","2022","Registered(03/14/2022)",NA,"Business Management","SO","Female","Yes","No","No",8,"Y",NA,"Very Interested","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","607UYXR4140YP374",NA,NA,NA
"11","Fall","2022","Registered(06/13/2022)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",3,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","579QATZ4871IL470",NA,NA,NA
"12","Fall","2023","Registered(06/02/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","289MPOP2985IY273","I",2,"Dave Rowe"
"13","Fall","2023","Registered(06/06/2023)",NA,"Business Management","SR","Male","No","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","110SUTI4562RX308","E",1,"Jared Peterson"
"14","Winter","2023","Registered(11/16/2022)",NA,"Business Management","FR","Female","Yes","No","No",2,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","500CTSS2533BF763","B",1,"Robert Wilson"
"15","Winter","2023","Registered(11/08/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","184UZQH9799FB201","G",3,"Jared Peterson"
"16","Fall","2022","Registered(06/06/2022)",NA,"Business Management","SR","Male","No","No","No",6,"N","Evening","No Opinion","No Opinion","No Opinion","No Opinion","837EOLY4182EP708",NA,NA,NA
"17","Winter","2023","Registered(11/09/2022)",NA,"Business Finance","JR","Female","Yes","Yes","No",6,"N",NA,"N/A","N/A","N/A","N/A","750FHSB3487SC141","F",2,"Chris Boyce"
"18","Spring","2022","Registered(04/04/2022)",NA,"Business Management","SO","Male","No","No","No",3,"N","Daytime Operations (8AM-2PM)","N/A","N/A","N/A","N/A","235ERFP6696NM704",NA,NA,NA
"19","Spring","2022","Registered(03/08/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",2,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Not Interested","Not Interested","970CMDJ1670QP246",NA,NA,NA
"20","Fall","2023","tbd",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","463AWMK9268JU211","G",1,"Drew Eagar"
"21","Spring","2022","Registered(03/05/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",6,"N","Daytime Operations (8AM-2PM)","N/A","N/A","N/A","N/A","171ZWLU4390WX508",NA,NA,NA
"22","Fall","2023","Registered(06/12/2023)",NA,"Business Management","SR","Male","No","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","462NXCK9006QP758","E",2,"Jared Peterson"
"23","Fall","2022","Registered(06/09/2022)",NA,"Business Management","JR","Male","No","No","No",3,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","431VYOU2964HI435",NA,NA,NA
"24","Fall","2023","Registered(06/07/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",2,"N","N/A","N/A","N/A","N/A","N/A","565KFTG8876TJ255","B",2,"Mary Maroon"
"25","Winter","2023","Registered(11/07/2022)",NA,"Business Management","SR","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","Not Interested","925HSRB1621MM750","A",3,"Charlie Crump"
"26","Fall","2023","Registered(06/08/2023)",NA,"Graphic Design","JR","Male","No","No","Yes",4,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Indifferent or No Opinion","Not Interested","782ZPBK3600HZ902","D",1,"Chris Boyce"
"27","Spring","2023","Registered(03/08/2023)",NA,"Business Management","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","604HXTZ4594LU982","H",3,"Charlie Crump"
"28","Fall","2023","Registered(06/08/2023)",NA,"Horticulture","JR","Female","Yes","No","Yes",3,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Not Interested","Indifferent or No Opinion","Very Interested","777NQUC7616TJ222","C",2,"Rob Tietjen"
"29","Spring","2023","Registered(03/09/2023)",NA,"Business Management Ops","JR","Female","Yes","No","No",9,"N",NA,"N/A","N/A","N/A","N/A","590KEOU3918KV382","I",1,"Dave Rowe"
"30","Spring","2022","Registered(03/10/2022)",NA,"Weld/Fabrication Tech","SO","Male","No","No","Yes",4,"Y",NA,"Not Interested","Very Interested","Very Interested","Not Interested","350WHSL7692QN849",NA,NA,NA
"31","Fall","2023","Registered(06/02/2023)",NA,"Horticulture","SR","Female","Yes","No","Yes",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","148QMTT3101AG575","H",2,"Brian Christensen"
"32","Fall","2022","Registered(06/06/2022)",NA,"Business Management","SR","Female","Yes","No","No",2,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","870GYFG6490MC377",NA,NA,NA
"33","Spring","2023","Registered(03/07/2023)",NA,"Business Management","JR","Male","No","No","No",1,"Y","I'm fine with either option","Indifferent or No Opinion","Indifferent or No Opinion","Not Interested","Indifferent or No Opinion","631GVHE5145IZ708","A",1,"Scott Pope"
"34","Spring","2023","Registered(03/10/2023)",NA,"Business Management Ops","JR","Male","No","No","No",3,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Not Interested","988ESWW7457BN287","C",1,"Chris Boyce"
"35","Spring","2023","Registered(03/07/2023)",NA,"Automotive Tech Mgmt","JR","Male","No","No","Yes",7,"N",NA,"N/A","N/A","N/A","N/A","137XMHR8029TG165","G",3,"Brian Christensen"
"36","Spring","2022","Registered(03/03/2022)",NA,"Business Management","SR","Male","No","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","424HRTV6747LW188",NA,NA,NA
"37","Winter","2023","Registered(01/04/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",5,"N",NA,"N/A","N/A","N/A","N/A","522LDTK7617WA132","E",3,"Rob Tietjen"
"38","Winter","2023","Registered(11/04/2022)",NA,"Psychology","SR","Male","No","No","Yes",4,"Y","Daytime Operations (8AM-2PM)","Very Interested","Not Interested","Indifferent or No Opinion","Very Interested","497RMUK2812FY741","D",2,"Alan Thompson"
"39","Fall","2022","Registered(06/03/2022)",NA,"Business Management","SR","Male","No","No","No",2,"Y","Daytime","No Opinion","Very Interested","Very Interested","Very Interested","195YXXX6384GA702",NA,NA,NA
"40","Spring","2022","Registered(03/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Very Interested","Not Interested","Indifferent or No Opinion","713TNCH4009DE858",NA,NA,NA
"41","Fall","2022","Registered(06/13/2022)",NA,"Business Management","SO","Male","No","No","No",5,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","232VUSA8438EZ157",NA,NA,NA
"42","Fall","2022","Registered(06/12/2022)",NA,"Business Management","SO","Male","No","No","No",8,"Y","Daytime","Very Interested","Very Interested","Very Interested","Not Interested","731WDXE4872EN102",NA,NA,NA
"43","Spring","2023","Registered(03/26/2023)",NA,"General Studies","FR","Male","No","No","Yes",6,"N",NA,"N/A","N/A","N/A","N/A","176KGKP7020PE255","F",2,"Kent Lundin"
"44","Spring","2023","Registered(03/10/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Not Interested","Indifferent or No Opinion","831ACEX2956XT346","A",3,"Scott Pope"
"45","Spring","2023","Registered(03/14/2023)",NA,"Business Management","SO","Male","No","No","No",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","503SSTX9963LW233","B",2,"Rob Tietjen"
"46","Spring","2023","Registered(03/21/2023)",NA,"Business Management","JR","Male","No","No","No",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Not Interested","Very Interested","Indifferent or No Opinion","Not Interested","952BDLK3841NG479","B",2,"Rob Tietjen"
"47","Fall","2023","Registered(06/09/2023)",NA,"Business Management","JR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","726RSMJ7330GX265","G",2,"Drew Eagar"
"48","Spring","2022","Registered(03/15/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",8,"Y",NA,"Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Very Interested","991MVFV2657GY170",NA,NA,NA
"49","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","313EHOG8272FM785","E",3,"Jared Peterson"
"50","Winter","2023","Registered(11/13/2022)",NA,"Business Management","SR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Very Interested","Very Interested","904RJMX2995WT820","D",2,"Alan Thompson"
"51","Fall","2022","Registered(06/13/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",7,"Y","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","609ZZAE7305DY944",NA,NA,NA
"52","Fall","2022","Registered(06/13/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",5,"Y","Daytime","No Opinion","No Opinion","No Opinion","Very Interested","567CUPS7621JG881",NA,NA,NA
"53","Winter","2023","Registered(11/03/2022)",NA,"Business Management","SR","Male","No","No","No",8,"N",NA,"N/A","N/A","N/A","N/A","101MYRK7457ID600","H",1,"Jared Eberhard"
"54","Fall","2022","Registered(06/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",6,"Y","Either","Very Interested","No Opinion","No Opinion","Very Interested","295SPKU6229SJ442",NA,NA,NA
"55","Spring","2022","Registered(03/08/2022)",NA,"Business Management","JR","Female","Yes","No","No",7,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","313HKPA7512HV490",NA,NA,NA
"56","Spring","2022","Registered(03/10/2022)",NA,"Construction Management","SO","Female","Yes","No","Yes",5,"Y",NA,"Very Interested","Very Interested","Indifferent or No Opinion","Not Interested","568MBIF5252KM368",NA,NA,NA
"57","Winter","2023","Registered(11/13/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Indifferent or No Opinion","Very Interested","Very Interested","Indifferent or No Opinion","509XOZF1120BH234","E",1,"Rob Tietjen"
